layer,tile_type,max_relative,min_relative,average_relative,geometry_format,element_count,std_dev
1,reports_tile_max,54.50027550470339,0.0,0.011206730891723499,SQUARE,69,0.5852448438993779
1,reports_tile_max,1.0741692207383302e-05,0.0,2.64986368778048e-09,SQUARE,29,1.431893573090441e-07
1,reports_tile_max,1.0741692207383302e-05,0.0,2.64986368778048e-09,SQUARE,29,1.431893573090441e-07
1,reports_tile_max,2.2418732779414206,0.0,0.0005101025536054537,SQUARE,65,0.02526872803408327
1,reports_tile_max,2.2418732779414206,0.0,0.0005100999037417659,SQUARE,36,0.02526872808717037
1,reports_tile_max,3.081273159511913,0.0,0.002033958987395575,SQUARE,18,0.062336115288908416
1,reports_tile_max,54.50027550470339,0.0,0.011206730891723499,SQUARE,69,0.5852448438993779
1,reports_tile_max,54.50027550470339,0.0,0.011206730891723499,SQUARE,69,0.5852448438993779
1,reports_tile_max,57.35304139959777,0.0,0.011620500826429294,SQUARE,69,0.614192118603676
1,reports_tile_max,1.0741692207383302e-05,0.0,2.64986368778048e-09,SQUARE,29,1.431893573090441e-07
1,reports_tile_max,86.71593765059579,0.0,0.01853076313903914,SQUARE,66,0.9957985472127404
1,reports_tile_max,82.42012032673922,0.0,0.011522309488466914,SQUARE,17,0.8528049702684743
1,reports_tile_max,81.2889489692775,0.0,0.019876116593411042,SQUARE,68,0.9828412325986482
1,reports_tile_max,5.156653920507979,0.0,0.0005646718476162707,LINE,2,0.05301796841088197
1,reports_tile_max,55.623891932849865,0.0,0.011937642028267985,SQUARE,40,0.5988542205370486
1,reports_tile_max,121.85562627947543,0.0,0.01751660186090265,LINE,8,1.2789198186090485
1,reports_tile_max,1.0741692207383302e-05,0.0,2.64986368778048e-09,SQUARE,29,1.431893573090441e-07
1,reports_tile_max,2.2418732779414206,0.0,0.0005100999037417659,SQUARE,36,0.02526872808717037
1,reports_tile_max,54.50027550470339,0.0,0.011206730891723499,SQUARE,69,0.5852448438993779
1,reports_tile_max,9.125475863344382e+38,0.0,1.0168655310547635e+35,SQUARE,69,9.380943533454661e+36
1,reports_tile_max,1.0741692207383302e-05,0.0,2.64986368778048e-09,SQUARE,29,1.431893573090441e-07
1,reports_tile_max,1.0741692207383302e-05,0.0,2.64986368778048e-09,SQUARE,29,1.431893573090441e-07
1,reports_tile_max,2.2418732779414206,0.0,0.0005100999037417659,SQUARE,36,0.02526872808717037
1,reports_tile_max,1.0741692207383302e-05,0.0,2.64986368778048e-09,SQUARE,29,1.431893573090441e-07
1,reports_tile_max,56.49763358848633,0.0,0.006890468627350683,LINE,6,0.5824612214377062
1,reports_tile_max,0.28768034301917234,0.0,4.618775697702237e-05,LINE,2,0.003332357557048948
1,reports_tile_max,7.6163385399293695,0.0,0.002935971190658436,SQUARE,16,0.11059792544077034
1,reports_tile_max,38.79710334936677,0.0,0.009860288888854308,SQUARE,69,0.4482559270753224
1,reports_tile_max,2.2418732779414206,0.0,0.0005100999037417659,SQUARE,36,0.02526872808717037
1,reports_tile_max,2.2418732779414206,0.0,0.0005100999037417659,SQUARE,36,0.02526872808717037
1,reports_tile_max,1.0741692207383302e-05,0.0,2.64986368778048e-09,SQUARE,29,1.431893573090441e-07
1,reports_tile_max,79.14973175831432,0.0,0.020117594631795997,SQUARE,68,0.9779383299535442
1,reports_tile_max,94.75092006370386,0.0,0.018332001463100597,SQUARE,16,1.0664920200623031
1,reports_tile_max,48.754243564485705,0.0,0.0080012980179112,SQUARE,17,0.5149819540229937
1,reports_tile_max,51.09797869981033,0.0,0.0069047118130080454,LINE,6,0.5326906837107758
1,reports_tile_max,2.2418732779414206,0.0,0.0005100999037417659,SQUARE,36,0.02526872808717037
1,reports_tile_max,112.34062299582934,0.0,0.019938943466293664,SQUARE,32,1.181406363191977
1,reports_tile_max,2.2418732779414206,0.0,0.0005100999037417659,SQUARE,36,0.02526872808717037
1,reports_tile_max,5.156653920507979,0.0,0.0015410396004730948,SQUARE,16,0.06306115917085078
1,reports_tile_max,79.14973175831432,0.0,0.020385042392123374,SQUARE,68,0.9786055947229674
1,reports_tile_max,79.14973175831432,0.0,0.020117594631795997,SQUARE,68,0.9779383299535442
1,reports_tile_max,54.50027550470339,0.0,0.011206730891723499,SQUARE,69,0.5852448438993779
1,reports_tile_max,11.100255456555315,0.0,0.0037361700686684685,SQUARE,23,0.14304973436415902
1,reports_tile_max,38.65085935572005,0.0,0.009400303213256998,SQUARE,69,0.4498205802580772
1,reports_tile_max,51.20310987568418,0.0,0.010775460099840753,SQUARE,69,0.5506109748194186
1,reports_tile_max,48.754243564485705,0.0,0.00785855190560175,SQUARE,16,0.5146340089178
1,reports_tile_max,1.8823277420977877,0.0,0.00019900562101784862,LINE,2,0.019339793775974945
1,reports_tile_max,2.2418732779414206,0.0,0.0005100999037417659,SQUARE,36,0.02526872808717037
1,reports_tile_max,98.93745457605807,0.0,0.019349370561889994,SQUARE,68,1.0544700643964682
1,reports_tile_max,2.2418732779414206,0.0,0.0005101025536054537,SQUARE,65,0.02526872803408327
1,reports_tile_max,55.09981427942243,0.0,0.011486675478149617,SQUARE,69,0.5908347155838177
1,reports_tile_max,2.2418732779414206,0.0,0.0005100999037417659,SQUARE,36,0.02526872808717037
1,reports_tile_max,2.2418732779414206,0.0,0.0005100999037417659,SQUARE,36,0.02526872808717037
1,reports_tile_max,1.8823277420977877,0.0,0.00019900562101784862,LINE,2,0.019339793775974945
1,reports_tile_max,1.0741692207383302e-05,0.0,2.64986368778048e-09,SQUARE,29,1.431893573090441e-07
1,reports_tile_max,0.28493654097812426,0.0,3.008201400534529e-05,LINE,2,0.0029275503743104547
1,reports_tile_max,1.0741692207383302e-05,0.0,2.64986368778048e-09,SQUARE,29,1.431893573090441e-07
1,reports_tile_max,54.50027550470339,0.0,0.011206730891723499,SQUARE,69,0.5852448438993779
1,reports_tile_max,42.646651403370456,0.0,0.011807830712208561,SQUARE,69,0.47888048211844025
1,reports_tile_max,3.081273159511913,0.0,0.0008053212324729694,SQUARE,36,0.040396747986064324
1,reports_tile_max,3.081273159511913,0.0,0.00032530599260023656,SQUARE,31,0.03165821538298223
1,reports_tile_max,2.2418732779414206,0.0,0.0005100999037417659,SQUARE,36,0.02526872808717037
1,reports_tile_max,93.79146862058835,0.0,0.01648384213557858,LINE,8,1.0620036570527283
1,reports_tile_max,2.5628282021884896,0.0,0.0007274058827371245,LINE,8,0.033134733791912965
1,reports_tile_max,80.78767270381272,0.0,0.012774572150800429,SQUARE,69,0.8372577335451059
1,reports_tile_max,3.081273159511913,0.0,0.00032530599260023656,SQUARE,31,0.03165821538298223
1,reports_tile_max,2.2418732779414206,0.0,0.0005100999037417659,SQUARE,36,0.02526872808717037
1,reports_tile_max,2.2418732779414206,0.0,0.0005101025536054537,SQUARE,65,0.02526872803408327
1,reports_tile_max,1.0741692207383302e-05,0.0,2.64986368778048e-09,SQUARE,29,1.431893573090441e-07
1,reports_tile_max,54.50027550470339,0.0,0.011206730891723499,SQUARE,69,0.5852448438993779
